"";"string";"cluster";"distanceToCenter"
"952";"Mouse";25;4
"953";"Zweiten Weltkrieges";25;18
"954";"Streckung";25;8
"955";"Weinhardt";25;8
"956";"durchmessende";25;12
"957";"Minas";25;4
"958";"Landesgrenzen";30;0
"959";"Wilhelm Morgner";25;14
"960";"Aristokratie";25;11
"961";"anwesenden";13;8
"962";"entwarf";25;6
"963";"dreidimensionalen";25;16
"964";"Eigen";44;3
"965";"Mitgliedschaft";25;13
"966";"jedweder";25;7
"967";"herbei";25;5
"968";"Notwendigkeit";26;11
"969";"AVL-Bäume";25;8
"970";"Einsatz";25;6
"971";"medizinischer";25;12
"972";"Mid-South";25;8
"973";"Denillo";25;6
"974";"manch";25;4
"975";"Urheberangabe";25;12
"976";"Rheins";25;5
"977";"12.";25;2
"978";"Zusammenschluss";10;9
"979";"1700";25;3
"980";"landete";25;6
"981";"Magnetnadel";25;10
"982";"Brennerei";25;8
"983";"1805";25;3
"984";"Antimaterie";25;10
"985";"11. März";25;7
"986";"Thunersee";41;0
"987";"1160";25;3
"988";"präsentieren";42;10
"989";"Stockstadt";25;9
"990";"schädlich";25;8
"991";"Verkehrswesen";25;12
"992";"Komponistin";25;10
"993";"Hinordnung";25;9
"994";"Amherst College";25;14
"995";"Top-40";25;5
"996";"Max Reinhardt";25;12
"997";"Josep";25;4
"998";"Dreiländereck";25;12
"999";"Säure";25;4
"1000";"Geschöpfe";25;8
