"";"x"
"982";"AUENWALD"
"983";"REGENSBURG"
"984";"BINDLACH"
"985";"SIMONSWALD"
"986";"POCKING"
"987";"BAD IBURG"
"988";"KISDORF"
"989";"KIENBERG"
"990";"LENNESTADT"
"991";"RIMSTING"
"992";"WAISCHENFELD"
"993";"REMLINGEN"
"994";"BRUCHSAL"
"995";"WONFURT"
"996";"MÜHLANGER"
"997";"SCHUTTERWALD"
"998";"LUPPA"
"999";"HITZHOFEN"
"1000";"WYHL"
"1001";"BORSDORF"
"1002";"SANDERSLEBEN"
"1003";"BRUCHKÖBEL"
"1004";"PLUWIG"
"1005";"SCHONDORF AM AMMERSEE"
"1006";"LANGENARGEN"
"1007";"BAD ELSTER"
"1008";"ALTLANDSBERG"
"1009";"SASSENBURG"
"1010";"BÜTTELBORN"
"1011";"SOLTENDIECK"
"1012";"HALBLECH"
"1013";"KERNEN IM REMSTAL"
"1014";"ESCHENLOHE"
"1015";"RAVENSBURG"
"1016";"LÖBAU"
"1017";"BISCHOFFEN"
"1018";"BERGEN"
"1019";"BAD KISSINGEN"
"1020";"STAUDERNHEIM"
"1021";"RITTERSGRÜN"
"1022";"SANKT KATHARINEN BEI NEUWIED"
"1023";"BURGSTETTEN"
"1024";"PUTZKAU"
"1025";"DITTELSHEIM-HESSLOCH"
"1026";"ALTSHAUSEN"
"1027";"MARKDORF"
"1028";"REINFELD (HOLSTEIN)"
"1029";"GRÖNWOHLD"
"1030";"KÖNIGSMOOS"
"1031";"HERBSLEBEN"
"1032";"HAIDMÜHLE"
"1033";"NORTMOOR"
"1034";"NEUENHAUS"
"1035";"POSSENDORF"
"1036";"KOLBINGEN"
"1037";"SOSA"
"1038";"ZELL IM WIESENTAL"
"1039";"HAINA (KLOSTER)"
"1040";"ENSE"
"1041";"SONNEBERG"
"1042";"WADDEWEITZ"
"1043";"HOHENLEUBEN"
"1044";"GOMMERN"
"1045";"HERSCHBACH"
"1046";"PASSAU"
"1047";"BUCKENHOF"
"1048";"BURGLENGENFELD"
"1049";"HÜNSTETTEN"
"1050";"KLEIN NORDENDE"
"1051";"PARCHIM"
"1052";"AHNATAL"
"1053";"KÜPS"
"1054";"GERSDORF"
"1055";"BLUMBERG"
"1056";"GRIMMA"
"1057";"ERKNER"
"1058";"LANGWEDEL"
"1059";"UNKEL"
"1060";"KÖLLN-REISIEK"
"1061";"BALVE"
"1062";"BASTHEIM"
"1063";"DÜSSELDORF"
"1064";"DEMITZ"
"1065";"OBERNBURG AM MAIN"
"1066";"LANGENSTEIN"
"1067";"WEHR"
"1068";"BELM"
"1069";"ECHZELL"
"1070";"UNTERNEUKIRCHEN"
"1071";"MARKRANSTÄDT"
"1072";"MICHELAU IN OBERFRANKEN"
"1073";"MICHELSTADT"
"1074";"ORSINGEN-NENZINGEN"
"1075";"OBERNDORF AM LECH"
"1076";"FRAUENHAIN"
"1077";"WERBACH"
"1078";"HOHENROTH"
"1079";"RÖMHILD"
"1080";"BIRKEN-HONIGSESSEN"
"1081";"STEINSFELD"
"1082";"WUPPERTAL"
"1083";"WIETZENDORF"
"1084";"VELDEN"
"1085";"LANGGÖNS"
"1086";"MUTLANGEN"
"1087";"HANAU"
"1088";"NEUSTADT AN DER WALDNAAB"
"1089";"ATTING"
"1090";"ELCHINGEN"
"1091";"EVERSWINKEL"
"1092";"SCHWABHAUSEN BEI DACHAU"
"1093";"MARQUARTSTEIN"
"1094";"LEGDEN"
"1095";"VECKENSTEDT"
"1096";"EDIGER-ELLER"
"1097";"HATTERSHEIM AM MAIN"
"1098";"STRAHWALDE"
"1099";"EBERNHAHN"
"1100";"GROSSHENNERSDORF"
"1101";"VALLEY"
"1102";"GLESIEN"
"1103";"LUDWIGSHAFEN AM RHEIN"
"1104";"EMSTEK"
"1105";"EINBECK"
"1106";"MALCHOW"
"1107";"RADIBOR"
"1108";"LAMBSHEIM"
"1109";"NEUKIRCHEN"
"1110";"ARNSDORF"
"1111";"WOLPERTSWENDE"
"1112";"STEINEBACH"
"1113";"TRUSETAL"
"1114";"REBESGRÜN"
"1115";"FRIEDRICHSHAFEN"
"1116";"BELLENBERG"
"1117";"STEINBERGKIRCHE"
"1118";"KÖNIGHEIM"
"1119";"REMSECK AM NECKAR"
"1120";"GAMMERTINGEN"
"1121";"HOHENAU"
"1122";"WILLANZHEIM"
"1123";"TRECHTINGSHAUSEN"
"1124";"UNTEREGG"
"1125";"ALTENSTADT"
"1126";"HAMMERBRÜCKE"
"1127";"RIEDEN"
"1128";"WIESENBAD"
"1129";"MARIENHAFE"
"1130";"FREYENSTEIN"
"1131";"NORDHOLZ"
"1132";"ROLLSHAUSEN"
"1133";"BARNEBERG"
"1134";"BRIESKOW-FINKENHEERD"
"1135";"EMDEN"
"1136";"OBERSTENFELD"
"1137";"BELTHEIM"
"1138";"OBERRIEDEN"
"1139";"SCHWEIGEN-RECHTENBACH"
"1140";"THUINE"
"1141";"FRONTENHAUSEN"
"1142";"HOLZMADEN"
"1143";"RETTENBACH"
"1144";"HOLLENSTEDT"
"1145";"SCHWÜLPER"
"1146";"BÜLKAU"
"1147";"BRAUNSBACH"
"1148";"RATZEBURG"
"1149";"PRIEN AM CHIEMSEE"
"1150";"WALDENBURG"
"1151";"BREISACH AM RHEIN"
"1152";"BRÜCKEN (PFALZ)"
"1153";"FINSING"
"1154";"OPPENWEILER"
"1155";"KELLINGHUSEN"
"1156";"BOPPARD"
"1157";"SCHWIEBERDINGEN"
"1158";"NIDEGGEN"
"1159";"SCHEYERN"
"1160";"FELDBERG"
"1161";"ETZDORF"
"1162";"BONNDORF IM SCHWARZWALD"
"1163";"WINTRICH"
"1164";"DAUCHINGEN"
"1165";"BARNTRUP"
"1166";"STADTHAGEN"
"1167";"OBERTAUFKIRCHEN"
"1168";"FREIBERG AM NECKAR"
"1169";"AUHAGEN"
"1170";"MITTELSTETTEN"
"1171";"WOLFEGG"
"1172";"FLEIN"
"1173";"NETPHEN"
"1174";"KLOTTEN"
"1175";"AUFHAUSEN"
"1176";"WÖRRSTADT"
"1177";"LIEBENBURG"
"1178";"HÖCHBERG"
"1179";"GMUND AM TEGERNSEE"
"1180";"OBERTRUBACH"
"1181";"HOYM"
"1182";"RAUBACH"
"1183";"FUSSGÖNHEIM"
"1184";"KOBERN-GONDORF"
"1185";"WAGENFELD"
"1186";"ISSUM"
"1187";"PLAUEN"
"1188";"SCHWAIG BEI NÜRNBERG"
"1189";"KATLENBURG-LINDAU"
"1190";"OSTERHOFEN"
"1191";"UNTERSCHNEIDHEIM"
"1192";"WILDESHAUSEN"
"1193";"HORHAUSEN (WESTERWALD)"
"1194";"KANDERN"
"1195";"TECKLENBURG"
"1196";"GUSENBURG"
"1197";"NÜNCHRITZ"
"1198";"WALTERSHAUSEN"
"1199";"BESTENSEE"
"1200";"GOTTENHEIM"
"1201";"JÄNKENDORF"
"1202";"HEIMENKIRCH"
"1203";"FINSTERBERGEN"
"1204";"OTTERBERG"
"1205";"BARENBURG"
"1206";"WEISSBACH"
"1207";"FEILITZSCH"
"1208";"MALBORN"
"1209";"BEIERSDORF"
"1210";"HOHENASPE"
"1211";"NIEDERLEHME"
"1212";"RUHLA"
"1213";"MÜNSTERDORF"
"1214";"SANKT GEORGEN IM SCHWARZWALD"
"1215";"OPPENHEIM"
"1216";"BITZ"
"1217";"TRÖBITZ"
"1218";"VIERKIRCHEN"
"1219";"BRETTEN"
"1220";"INSHEIM"
"1221";"WALDDORFHÄSLACH"
"1222";"FÜRTH"
"1223";"LIEBERTWOLKWITZ"
"1224";"ÜHLINGEN-BIRKENDORF"
"1225";"PIRMASENS"
"1226";"HAIMING"
"1227";"MOERS"
"1228";"OFTERSCHWANG"
"1229";"LIPPSTADT"
"1230";"LADELUND"
"1231";"NAUMBURG"
"1232";"TRÖSTAU"
"1233";"STETTFELD"
"1234";"SÜDERLÜGUM"
"1235";"ESTORF"
"1236";"HOLDORF"
"1237";"PLEISSA"
"1238";"SCHAUFLING"
"1239";"BRECKERFELD"
"1240";"LEUBEN"
"1241";"WALDMÜNCHEN"
"1242";"ALSENZ"
"1243";"LANGEN"
"1244";"REHLING"
"1245";"BUCHHOLZ (ALLER)"
"1246";"ERKENBRECHTSWEILER"
"1247";"IBBENBÜREN"
"1248";"DIEPENAU"
"1249";"FEUCHT"
"1250";"ERNDTEBRÜCK"
"1251";"ZINNOWITZ"
"1252";"HANNOVER"
"1253";"MECKENBEUREN"
"1254";"PADERBORN"
"1255";"ANGERMÜNDE"
"1256";"LÜTJENBURG"
"1257";"REUTERSTADT STAVENHAGEN"
"1258";"RUNKEL"
"1259";"ROCKENBERG"
"1260";"NEUHAUSEN"
"1261";"GÜTENBACH"
"1262";"KLOSTERFELDE"
"1263";"MUNDERKINGEN"
"1264";"FRIEDLAND"
"1265";"DORMAGEN"
"1266";"AHLDEN"
"1267";"ROSENGARTEN"
"1268";"SIEGENBURG"
"1269";"GUSBORN"
"1270";"HEINADE"
"1271";"NORHEIM"
"1272";"JADE"
"1273";"WILDENFELS"
"1274";"CREMLINGEN"
"1275";"OSCHATZ"
"1276";"DILLINGEN/SAAR"
"1277";"METTMANN"
"1278";"BENNECKENSTEIN"
"1279";"ESGRUS"
"1280";"MERSCHWITZ"
"1281";"OBERTSHAUSEN"
"1282";"FAHRDORF"
"1283";"DÖMITZ"
"1284";"KETTENKAMP"
"1285";"STOCKHEIM"
"1286";"GRIMMEN"
"1287";"MÖLKAU"
"1288";"LEMGO"
"1289";"GROSS TWÜLPSTEDT"
"1290";"OFFENBURG"
"1291";"HAUSEN"
"1292";"RÜTHEN"
"1293";"HORNBACH"
"1294";"PATTENSEN"
"1295";"ERNSGADEN"
"1296";"SCHALLSTADT"
"1297";"MUGGENSTURM"
"1298";"OBERSINN"
"1299";"HALBERSTADT"
"1300";"SAGAR"
"1301";"SENSBACHTAL"
"1302";"NIEDERMURACH"
"1303";"KYLLBURG"
"1304";"ASBACH"
"1305";"KALTENKIRCHEN"
"1306";"AMBERG"
"1307";"NIEDERWINKLING"
"1308";"SOLTAU"
"1309";"OSTRO"
"1310";"ALTENGOTTERN"
"1311";"LIMBURGERHOF"
"1312";"JÖSSNITZ"
"1313";"NEINSTEDT"
"1314";"BUXHEIM"
"1315";"HEIMBACH"
"1316";"BORNHÖVED"
"1317";"DÜREN"
"1318";"NEIDSTEIN"
"1319";"RAMMINGEN"
"1320";"ALLMENDINGEN"
"1321";"MUDAU"
"1322";"WALLDORF"
"1323";"EISELFING"
"1324";"KRONBURG"
"1325";"LEIFERDE"
"1326";"SASSNITZ"
"1327";"MENGEN"
"1328";"WILSTEDT"
"1329";"NIENSTÄDT"
"1330";"CRANZAHL"
"1331";"SEINSHEIM"
"1332";"SICKTE"
"1333";"SULZEMOOS"
"1334";"HELMSTADT"
"1335";"WITTINGEN"
"1336";"FÜSSEN"
"1337";"MÜNCHENBERNSDORF"
"1338";"AITRANG"
"1339";"LUNESTEDT"
"1340";"ESTERWEGEN"
"1341";"KÜMMERSBRUCK"
"1342";"GERSTEN"
"1343";"ALTENKIRCHEN (WESTERWALD)"
"1344";"GROSSBOTHEN"
"1345";"REUTH BEI ERBENDORF"
"1346";"REICHENBACH"
"1347";"LINDOW"
"1348";"HEYNITZ"
"1349";"KALTENNORDHEIM"
"1350";"BAD WINDSHEIM"
"1351";"KALTENENGERS"
"1352";"NIEDERNEISEN"
"1353";"STÖTTEN AM AUERBERG"
"1354";"BAISWEIL"
"1355";"LILIENTHAL"
"1356";"REGNITZLOSAU"
"1357";"BREITNAU"
"1358";"SANKT JOHANN"
"1359";"BOXBERG"
"1360";"FRIEDRICHSDORF"
"1361";"OTTENDORF"
"1362";"EISINGEN"
"1363";"STEINGADEN"
"1364";"FREITAL"
"1365";"BACKNANG"
"1366";"BAUTZEN"
"1367";"LEHRE"
"1368";"OTTERSHEIM BEI LANDAU"
"1369";"ALTERTHEIM"
"1370";"GESLAU"
"1371";"WUSTROW"
"1372";"AICHHALDEN"
"1373";"BERNSDORF"
"1374";"PÖLITZ"
"1375";"ANGELBURG"
"1376";"FISCHBACHAU"
"1377";"NORDENDORF"
"1378";"QUERN"
"1379";"HOHENTENGEN AM HOCHRHEIN"
"1380";"RUPPERTSGRÜN"
"1381";"DAHLENBURG"
"1382";"WIEDNITZ"
"1383";"KEMNITZ"
"1384";"LUCKENWALDE"
"1385";"LANGENWEDDINGEN"
"1386";"WREMEN"
"1387";"JERICHOW"
"1388";"AUSLEBEN"
"1389";"LAUDENBACH"
"1390";"THÜR"
"1391";"ALTEGLOFSHEIM"
"1392";"LANGENSELBOLD"
"1393";"WEITNAU"
"1394";"LAUDA-KÖNIGSHOFEN"
"1395";"ERING"
"1396";"ALTENKIRCHEN"
"1397";"BAD LIPPSPRINGE"
"1398";"TUTZING"
"1399";"RHEURDT"
"1400";"GÜNZACH"
"1401";"SIEGBACH"
"1402";"WINSEN (LUHE)"
"1403";"SELM"
"1404";"HERGATZ"
"1405";"SCHMITTEN"
"1406";"ARBERG"
"1407";"NEIDLINGEN"
"1408";"IRSCHENBERG"
"1409";"REISKIRCHEN"
"1410";"UNTERSIEMAU"
"1411";"NITTEL"
"1412";"NACHRODT-WIBLINGWERDE"
"1413";"GREPPIN"
"1414";"BREITENBRUNN"
"1415";"LORCH"
"1416";"FREISEN"
"1417";"BIRKWITZ-PRATZSCHWITZ"
"1418";"VOGT"
"1419";"DIETZHÖLZTAL"
"1420";"ELLERAU"
"1421";"RHEINBÖLLEN"
"1422";"FAHRENBACH"
"1423";"WERNBERG-KÖBLITZ"
"1424";"FLADUNGEN"
"1425";"NIEDERKIRCHEN"
"1426";"DRENSTEINFURT"
"1427";"KAISERSESCH"
"1428";"DAMMBACH"
"1429";"BAAR"
"1430";"ENKENBACH-ALSENBORN"
"1431";"HÜRTGENWALD"
"1432";"GROSSSCHÖNAU"
"1433";"OLCHING"
"1434";"EPFENDORF"
"1435";"LANGENLONSHEIM"
"1436";"STEINFELD (OLDENBURG)"
"1437";"SULZDORF AN DER LEDERHECKE"
"1438";"OTTERNDORF"
"1439";"HEUSWEILER"
"1440";"RODENBERG"
"1441";"MODAUTAL"
"1442";"BENDESTORF"
"1443";"SCHORTENS"
"1444";"ALTENMÜNSTER"
"1445";"OBERWOLFACH"
"1446";"KEMTAU"
"1447";"RUDERTING"
"1448";"SCHWANDORF"
"1449";"NEUDENAU"
"1450";"BAUNATAL"
"1451";"BAD BERNECK"
"1452";"MIROW"
"1453";"RIEDENBURG"
"1454";"BAD ÜBERKINGEN"
"1455";"LOFFENAU"
"1456";"BÜDELSDORF"
"1457";"BENEDIKTBEUREN"
"1458";"BORDESHOLM"
"1459";"CROSTAU"
"1460";"NORDERNEY"
"1461";"ADELSRIED"
"1462";"ABENSBERG"
"1463";"PETERSHAGEN"
"1464";"GRAFSCHAFT"
"1465";"GARREL"
"1466";"WEISTROPP"
"1467";"DÖTLINGEN"
"1468";"WEYHE"
"1469";"ERLENBACH"
"1470";"REICHSHOF"
"1471";"MARLOFFSTEIN"
"1472";"HEBERTSFELDEN"
"1473";"MEERANE"
"1474";"LÜNEBURG"
"1475";"SINZING"
"1476";"SUSTRUM"
"1477";"ANZING"
"1478";"OBERSTDORF"
"1479";"LUHE-WILDENAU"
"1480";"MARKTGRAITZ"
"1481";"GEISENFELD"
"1482";"WAIN"
"1483";"BITTERFELD"
"1484";"STORKOW"
"1485";"KRANZBERG"
"1486";"MÖNCHWEILER"
"1487";"MAXDORF"
"1488";"TRUNKELSBERG"
"1489";"GÖGGINGEN"
"1490";"INZELL"
"1491";"WEISSDORF"
"1492";"NEUBRANDENBURG"
"1493";"GLASHÜTTE"
"1494";"OFTERDINGEN"
"1495";"DÖRVERDEN"
"1496";"ALFELD (LEINE)"
"1497";"LEIDERSBACH"
"1498";"RECKENDORF"
"1499";"LEIBLFING"
"1500";"KÖNIGSFELD IM SCHWARZWALD"
"1501";"BERGKIRCHEN"
"1502";"KIST"
"1503";"BRÜNLOS"
"1504";"GÜTERFELDE"
"1505";"LENZKIRCH"
"1506";"ERKELENZ"
"1507";"HÖCKENDORF"
"1508";"VIECHTACH"
"1509";"STIEFENHOFEN"
"1510";"RÜBENAU"
"1511";"POBERSHAU"
"1512";"RÜDESHEIM AM RHEIN"
"1513";"BAD SALZUFLEN"
"1514";"HEINSBERG"
"1515";"HOHNSTORF (ELBE)"
"1516";"VOGTSBURG IM KAISERSTUHL"
"1517";"BURG (DITHMARSCHEN)"
"1518";"NIEDERFELL"
"1519";"BAALBERGE"
"1520";"NEUBULACH"
"1521";"NEUENKIRCHEN"
"1522";"WIEDA"
"1523";"SIMMERATH"
"1524";"KARLSHULD"
"1525";"REHLINGEN"
"1526";"SCHAFSTEDT"
"1527";"WALDBREITBACH"
"1528";"HIMMELKRON"
"1529";"EBERN"
"1530";"AHAUS"
"1531";"GUDERHANDVIERTEL"
"1532";"GERINGSWALDE"
"1533";"BESELICH"
"1534";"ASCHAU IM CHIEMGAU"
"1535";"ROETGEN"
"1536";"EIMEN"
"1537";"GIESSEN"
"1538";"EITENSHEIM"
"1539";"NEU KALISS"
"1540";"JENA"
"1541";"NEURIED"
"1542";"LICHTERFELDE"
"1543";"WASSERLIESCH"
"1544";"AURACHTAL"
"1545";"GRAFENWÖHR"
"1546";"DÜRRHENNERSDORF"
"1547";"MOISBURG"
"1548";"PFAFFRODA"
"1549";"EBENHAUSEN"
"1550";"RINGELAI"
"1551";"WITTGENDORF"
"1552";"WILGARTSWIESEN"
"1553";"ALZENAU IN UNTERFRANKEN"
"1554";"MARKTRODACH"
"1555";"BAD WILSNACK"
"1556";"BAD TEINACH-ZAVELSTEIN"
"1557";"ALVESLOHE"
"1558";"KLEIN WANZLEBEN"
"1559";"LEEGEBRUCH"
"1560";"SCHNAITSEE"
"1561";"STADTKYLL"
"1562";"BEIERFELD"
"1563";"TITISEE-NEUSTADT"
"1564";"BINSWANGEN"
"1565";"SCHWARME"
"1566";"ITTLINGEN"
"1567";"NAUNDORF"
"1568";"BASDAHL"
"1569";"KIRCHENLAMITZ"
"1570";"GESTRATZ"
"1571";"NENTERSHAUSEN"
"1572";"TRITTENHEIM"
"1573";"FERNWALD"
"1574";"SCHIRMITZ"
"1575";"NEUKIRCH"
"1576";"RÖTHLEIN"
"1577";"NEUENHAGEN"
"1578";"BORKUM"
"1579";"TENGEN"
"1580";"DÄNISCHENHAGEN"
"1581";"RASDORF"
"1582";"UNDENHEIM"
"1583";"BRIEDEL"
"1584";"LEUN"
"1585";"GRAINAU"
"1586";"BURKHARDTSDORF"
"1587";"HASSBERGEN"
"1588";"WEMDING"
"1589";"FRIEDRICHSGRÜN"
"1590";"HÖRGERTSHAUSEN"
"1591";"ESCHENBACH IN DER OBERPFALZ"
"1592";"MICHELFELD"
"1593";"WIEREN"
"1594";"PFARRWEISACH"
"1595";"STEPHANSKIRCHEN"
"1596";"HATTENHOFEN"
"1597";"GRAFENGEHAIG"
"1598";"GÖSSNITZ"
"1599";"LOSHEIM"
"1600";"BIDINGEN"
"1601";"BURGEBRACH"
"1602";"SCHLANSTEDT"
"1603";"NEUBURG AM INN"
"1604";"LANGENHORN"
"1605";"KRÖLPA"
"1606";"LÜTZSCHENA"
"1607";"OBERLEICHTERSBACH"
"1608";"THUM"
"1609";"GEMMINGEN"
"1610";"EMMELSBÜLL-HORSBÜLL"
"1611";"NEUENKIRCHEN"
"1612";"NORTRUP"
"1613";"WILHELMSFELD"
"1614";"FÜNFSTETTEN"
"1615";"DÖRNTHAL"
"1616";"FACHBACH"
"1617";"RIMBACH"
"1618";"LEISNIG"
"1619";"HEUCHLINGEN"
"1620";"MARKTOFFINGEN"
"1621";"WISMAR"
"1622";"NEUSTRELITZ"
"1623";"BOHMTE"
"1624";"BERNSDORF"
"1625";"ISPRINGEN"
"1626";"WERNE"
"1627";"BAD MÜNSTER AM STEIN"
"1628";"INZLINGEN"
"1629";"WURMLINGEN"
"1630";"WOLFERODE"
"1631";"BIETIGHEIM-BISSINGEN"
"1632";"KIRN"
"1633";"MONZINGEN"
"1634";"BUCKOW"
"1635";"NEUFRA"
"1636";"THERES"
"1637";"LAHNTAL"
"1638";"DÖHLAU"
"1639";"ROTHENBURG OB DER TAUBER"
"1640";"HAMM"
"1641";"PAHLEN"
"1642";"LICHTENBERG"
"1643";"DORSTEN"
"1644";"BÜTZOW"
"1645";"RIEDE"
"1646";"GROSSHEUBACH"
"1647";"WEISENHEIM AM SAND"
"1648";"TANGERMÜNDE"
"1649";"COBURG"
"1650";"ADENSTEDT"
"1651";"OBERCUNNERSDORF"
"1652";"SCHROZBERG"
"1653";"DOSSENHEIM"
"1654";"SEHLDE"
"1655";"HETTINGEN"
"1656";"BERNRIED"
"1657";"ZSCHADRASS"
"1658";"KINDSBACH"
"1659";"KOHLBERG"
"1660";"SCHÖNINGEN"
"1661";"OBERRIEXINGEN"
"1662";"SCHAALBY"
"1663";"JANDELSBRUNN"
"1664";"GEFELL"
"1665";"SENNFELD"
"1666";"ESSINGEN"
"1667";"BACH AN DER DONAU"
"1668";"HÜNFELD"
"1669";"EGGENTHAL"
"1670";"BREITSCHEID"
"1671";"BORNA"
"1672";"MUNDELSHEIM"
"1673";"GINGEN AN DER FILS"
"1674";"DEUTSCHEINSIEDEL"
"1675";"MINFELD"
"1676";"GREVEN"
"1677";"SOLNHOFEN"
"1678";"NAUMBURG"
"1679";"IGERSHEIM"
"1680";"NIEDERBERGKIRCHEN"
"1681";"DETTELBACH"
"1682";"DONSIEDERS"
"1683";"SCHEINFELD"
"1684";"HIDDENHAUSEN"
"1685";"WESSLING"
"1686";"DAMP"
"1687";"GRAFRATH"
"1688";"KUMHAUSEN"
"1689";"MERKENDORF"
"1690";"LANGENCHURSDORF"
"1691";"PUTZBRUNN"
"1692";"KELLHUSEN (OSTSEE)"
"1693";"ZERBST"
"1694";"ELMENHORST"
"1695";"NECKARBISCHOFSHEIM"
"1696";"PULHEIM"
"1697";"BROKSTEDT"
"1698";"HOHENFICHTE"
"1699";"PRACKENBACH"
"1700";"PREUSSISCH OLDENDORF"
"1701";"PYRBAUM"
"1702";"THEILHEIM"
"1703";"WIESETH"
"1704";"SULZBACH-LAUFEN"
"1705";"OPFENBACH"
"1706";"HEMMINGEN"
"1707";"REPPENSTEDT"
"1708";"WASSERLOSEN"
"1709";"MARTINSHEIM"
"1710";"HATZFELD (EDER)"
"1711";"NEUBEUERN"
"1712";"WEHRHEIM"
"1713";"FRIEDENFELS"
"1714";"SPECHBACH"
"1715";"HERZOGENRATH"
"1716";"MAMMENDORF"
"1717";"KNÜLLWALD"
"1718";"MILTITZ"
"1719";"DOLLNSTEIN"
"1720";"BURGBERG IM ALLGÄU"
"1721";"HAGENWERDER"
"1722";"LANGENENSLINGEN"
"1723";"PALLING"
"1724";"ELLERBEK"
"1725";"TODTNAU"
"1726";"DEININGEN"
"1727";"EIBENSTOCK"
"1728";"GLOTTERTAL"
"1729";"MELLRICHSTADT"
"1730";"BAD BERKA"
"1731";"PLEINFELD"
"1732";"HASBERGEN"
"1733";"IDAR-OBERSTEIN"
"1734";"TRIPPSTADT"
"1735";"LOBBACH"
"1736";"HEILSBRONN"
"1737";"MALENTE"
"1738";"SCHWARZACH"
"1739";"HARGESHEIM"
"1740";"SCHERMBECK"
"1741";"WEFENSLEBEN"
"1742";"MARKT BEROLZHEIM"
"1743";"CÖLBE"
"1744";"KONSTANZ"
"1745";"KIRCHDORF AN DER AMPER"
"1746";"HEBERTSHAUSEN"
"1747";"RALINGEN"
"1748";"MÜLHEIM AN DER RUHR"
"1749";"BUXTEHUDE"
"1750";"FINOWFURT"
"1751";"MACKENBACH"
"1752";"HELLENHAHN-SCHELLENBERG"
"1753";"VÖRSTETTEN"
"1754";"NESSE"
"1755";"ARNSCHWANG"
"1756";"MOHSDORF"
"1757";"BUNDORF"
"1758";"HAMBÜHREN"
"1759";"FRIESACK"
"1760";"HEUCHELHEIM"
"1761";"LENGERICH"
"1762";"NEUSORG"
"1763";"DENKLINGEN"
"1764";"ARRACH"
"1765";"ISSIGAU"
"1766";"ZEITLOFS"
"1767";"WÜLKNITZ"
"1768";"MORSCHEN"
"1769";"KAMENZ"
"1770";"PILSTING"
"1771";"SCHEURING"
"1772";"RIETSCHEN"
"1773";"HEEMSEN"
"1774";"RUGENDORF"
"1775";"LEUNA"
"1776";"BADENHAUSEN"
"1777";"BERG (PFALZ)"
"1778";"KELTERN"
"1779";"FRIEDBERG (HESSEN)"
"1780";"NÜRNBERG"
"1781";"REICHENBACH"
"1782";"PFORZHEIM"
"1783";"KASTL"
"1784";"FENSTERBACH"
"1785";"GELDERN"
"1786";"RHEINE"
"1787";"QUERFURT"
"1788";"MELSBACH"
"1789";"RENDSBURG"
"1790";"SPEICHERSDORF"
"1791";"BISSINGEN AN DER TECK"
"1792";"WOLFEN"
"1793";"OTTENHOFEN"
"1794";"URSENSOLLEN"
"1795";"LANGENWETZENDORF"
"1796";"LANGENBERNSDORF"
"1797";"NÖRTEN-HARDENBERG"
"1798";"MÖCKERN"
"1799";"SCHLECHING"
"1800";"SULZBURG"
"1801";"BAD FÜSSING"
"1802";"BALJE"
"1803";"OTTWEILER"
"1804";"GUTACH (SCHWARZWALDBAHN)"
"1805";"MÜHLHEIM AM MAIN"
"1806";"GEIERSTHAL"
"1807";"FÜRTHEN"
"1808";"KIEBITZREIHE"
"1809";"GINSHEIM-GUSTAVSBURG"
"1810";"WEILBACH"
"1811";"ANGELBACHTAL"
"1812";"STEINKIRCHEN"
"1813";"REICHENBACH"
"1814";"SCHECHEN"
"1815";"KAMP-BORNHOFEN"
"1816";"ESCHERSHAUSEN"
"1817";"KELHEIM"
"1818";"ELLRICH"
"1819";"DENKENDORF"
"1820";"BIEDENKOPF"
"1821";"FROSE"
"1822";"GENDERKINGEN"
"1823";"WITTIGHAUSEN"
"1824";"BONN"
"1825";"GEMÜNDEN (WOHRA)"
"1826";"OETZEN"
"1827";"GÖRZKE"
"1828";"CADENBERGE"
"1829";"ELLEFELD"
"1830";"WIRGES"
"1831";"SIEGBURG"
"1832";"HAAG IN OBERBAYERN"
"1833";"BUNDE"
"1834";"SCHRIESHEIM"
"1835";"WACKERNHEIM"
"1836";"HATTEN"
"1837";"ELBTAL"
"1838";"BÖBINGEN AN DER REMS"
"1839";"KÖLLEDA"
"1840";"BÜCHEN"
"1841";"JOHANNISKIRCHEN"
"1842";"LINNICH"
"1843";"PORTA WESTFALICA"
"1844";"OBERNHEIM-KIRCHENARNBACH"
"1845";"VILSBIBURG"
"1846";"LENGENFELD"
"1847";"MASSENBACHHAUSEN"
"1848";"NIEDER-OLM"
"1849";"NEUKIRCHEN-BALBINI"
"1850";"HOFBIEBER"
"1851";"WETZLAR"
"1852";"ZITTAU"
"1853";"DEGGENDORF"
"1854";"OSTERSPAI"
"1855";"STENN"
"1856";"BISCHWEIER"
"1857";"EURASBURG"
"1858";"KELBRA"
"1859";"WEHRSTADT"
"1860";"KIRCHEHRENBACH"
"1861";"GREMSDORF"
"1862";"NIEDERGÖRSDORF"
"1863";"MOLFSEE"
"1864";"RENNINGEN"
"1865";"ALPENROD"
"1866";"GROSSGRIMMA"
"1867";"MARBACH AM NECKAR"
"1868";"GROSSHARTHAU"
"1869";"REICHLING"
"1870";"FREIHUNG"
"1871";"ORTENBERG"
"1872";"EDENKOBEN"
"1873";"PETERSHAUSEN"
"1874";"FILDERSTADT"
"1875";"WEISSBACH"
"1876";"BEHRINGEN"
"1877";"SULZBACH/SAAR"
"1878";"BACHARACH"
"1879";"BAD LIEBENWERDA"
"1880";"BORGSTEDT"
"1881";"LINDENBERG IM ALLGÄU"
"1882";"OESTRICH-WINKEL"
"1883";"ANNABURG"
"1884";"VÖHL"
