"";"cluster";"partOf";"center";"variance";"sumOfSquares";"count"
"181";181;0;"FURTH";0;193;6
"182";182;0;"UNTERAMMERGAU";0;0;1
"183";183;0;"COPPENBRÜGGE";0;0;1
"184";184;0;"BORDESHOLM";0;0;1
"185";185;0;"MONHEIM";0;6292;62
"186";186;0;"DIERA";0;1202;16
"187";187;0;"HEIMBACH";0;107;4
"188";188;0;"ZINNOWITZ";0;0;1
"189";189;0;"WEHRETAL";0;0;1
"190";190;0;"OPFENBACH";0;2174;21
"191";191;0;"STIEFENHOFEN";0;0;1
"192";192;0;"SCHÖNHEIDE";0;0;1
"193";193;0;"HAMM";0;409;6
"194";194;0;"MELSBACH";0;1989;22
"195";195;0;"OFTERSCHWANG";0;64;2
"196";196;0;"QUEIDERSBACH";0;9;2
"197";197;0;"SCHWENNINGEN";0;89;3
"198";198;0;"RÖMERBERG";0;925;9
"199";199;0;"BACH AN DER DONAU";0;984;5
"200";200;0;"NIEDERWINKLING";0;144;2
